기업명,직무명,담당업무,필요역량
현대자동차,금융/재무,"2024년 종합소득세 확정신고 관련 직원 문의사항 응대 및 세무, 경리 업무 보조, 세무 관리, 경리 업무 보조","회계/세무 관련 학과 전공자, 대학교 재학 중이거나 졸업하신 분, 연말정산 아르바이트 경험, 상경계열 전공자, 세금 분야 이해 및 파악 가능"
현대자동차,서비스/고객지원,"승객 서비스, 기내 갤리 관리, 객실 안전 관리, 비행 관련 객실 제반 사항 준비, 기내 서비스 개선, 객실 행정 사항 관리","학사 이상, 5년 이상의 민항사 근무 경력, 기내 서비스 수행 가능한 영어 커뮤니케이션 역량, 전용기 승무원 근무 경력, 최근 2년 이내 1등석 서비스 갤리 업무 경험, 풍부한 항공 지식, 미국 비자 보유"
현대자동차,미디어/홍보,"영상 콘텐츠 제작 및 전파, 뉴스 진행, 뉴스 아이템 기획 및 취합, 사내외 행사 진행","방송 경력 보유, 영어 커뮤니케이션 역량 보유, 동영상 포트폴리오 제출, 3년 이상의 방송 경력 우대, 인터뷰 및 비즈니스 회화 가능한 영어 능력 우대, 한국어능력시험 1급 점수 보유"
현대자동차,서비스/고객지원,"중고차 컨택센터 고객 발신 상담 유선/온라인 대응, 고객 상담 내용 입력 및 관리, 중고차 사업 운영 관련 고객 상담 및 판촉 활동 전반, 고객 클레임 대응 및 조치","콜센터 고객 응대 경험, 중고차 시장에 대한 전반적인 이해도"
현대자동차,엔지니어링,"시험 차량 연료 교환, 시험 연료 주입 시 저장고 급유, 시험 연료 보관, 저장, 관리 지원, 위험물 취급 안전수칙 숙지 및 유지 관리, 일일 유류 저장고 점검 및 특이사항 확인","운전면허 1종 보통 이상의 자격증 보유자, 3톤 미만 지게차 운전면허증 보유자, 차량정비 기능사 이상의 자격증 보유자, 차량의 연료 계통에 대한 구조 및 원리에 대한 이해가 있는 분"
현대자동차,미디어/홍보,"단체 및 개인 투어 인솔, 홍보 시설물 관리, 전시 설명 및 관람 안내, 기념품 및 비품 관리, 전화 문의 대응","최종 합격 후 입사 가능, 해외여행 결격 사유 없음, 인근 거주 및 즉시 출근 가능, 고객 응대 경험"
현대자동차,생산관리/품질관리,"작업환경 측정, 시료 분석, 결과 기록/평가/관리, 예비 조사 및 종합 의견 작성, 분석 결과 평가 및 입력/관리, 기타 보건 업무, 작업환경 측정 기관 평가 대응","산업보건학(위생학) 분야 학사 이상, 3년 이상의 사업장 보건 관리 경력, 화학물질 관리 관련 업무 경험, 산업위생관리기사 자격증 보유"
현대자동차,인사/총무,"글로벌 영입 인재 커뮤니케이션, 행정 지원 업무 수행, 부동산 임대차 계약 지원 및 관리, 해외 출입국 및 관공서 서류/비자 대응, 외국인 임직원 행사 지원","학사 이상의 학위, 행정/일반 사무 업무 경력, 비즈니스 영어 역량, 2025년 5월 입사 가능, 원어민 수준의 영어 회화 역량, 외국인 임원 비서 또는 의전/행사 경험"
현대자동차,생산/제조,"116 모터/인버터 부문 투자계획 수립, 공장 신/증설 및 설비 설치/시운전, 양산 품질 확보, 신기술/신공법 적용, 투자비/공법 검증, 국내외 공장 지원 업무 수행, 생산개발 관련 프로젝트 수행, 제품 이해 및 생산 공법 검토, 제조 공정 자동화 및 공정정보 데이터 연계 및 관리, 제품 품질 평가 기술 개발, 양산 품질 향상을 위한 표준화 수립","기계/전자/전기공학 분야에서 학사 이상의 학위, 3년 이상의 시스템/116 모터/인버터 관련 생산기술 업무 경험, 비즈니스 영어 커뮤니케이션 및 영어 문서 작성 역량, 석사 이상의 학위, 5년 이상의 관련 업무 경험, 관련 자격증 보유, 116 모터에 대한 전반적인 이해 및 관련 프로젝트 경험, 물류/공정 시뮬레이션 및 파이썬 사용 경험"
현대자동차,법률/법무,"법률 자문 및 계약서 검토, 소송/분쟁 관련 대응, 법무 관련 법률 이슈 자문, 국내 법무 분쟁 대응, 관련 프로젝트 수행","석사 이상의 학위, 한국 변호사 자격, 민형사 및 행정 소송 업무 경력, 비즈니스 영어 커뮤니케이션 및 문서 작성 역량"
