,기업명,대학,전공,채용시기,채용유형,직무명,학점,어학,자격증,수상,인턴,동아리,질문1,답변1,질문2,답변2
0,삼성전자,수도권4년,컴퓨터공학과,2023년 하반기,신입,개발,3.83,"{'토익': 945, '오픽': 'IM1'}",3.0,3.0,0.0,1.0,Q1.삼성전자를 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오.보기,"{'기업성': ['DA 사업부의 가전 개발', 'BESPOKE 브랜드의 개인화된 디자인 제공', 'SmartThings를 통한 사용자 편리함 제공', '그랑데 AI 제품의 편리함과 중요성 체험'], '태도': ['좋은 동료와의 협력 중시', '사람들에게 도움이 되는 개발 지향', '고객의 편리한 삶 경험을 위한 발전 의지', '멘토링을 통한 SW 생태계 순환 기여 희망'], '핵심경험': ['현직자 선배와의 멘토링 참여', '기업탐방 및 리서치 연계 프로젝트 참여', 'SmartThings/HCA 사용 기여 목표', 'Expert 등급 취득 목표']}","Q2.본인의 성장과정을 간략히 기술하되 현재의 자신에게 가장 큰 영향을 끼친 사건, 인물 등을 포함하여 기술하시기 바랍니다. (※ 작품 속 가상인물도 가능)보기","{'기업성': ['Computer Science 기초 지식 중요성 인식', '실천을 통한 경험의 중요성 인식', '협업의 중요성 및 인적 관리 필요성 인식', '우수 교육생 선정 및 삼성전자 연계 프로젝트 참여'], '태도': ['모든 경험과 학습의 가치 인식', '흥미 있는 주제에 대한 학습 의지', '신뢰를 바탕으로 한 협업 태도', '적극적인 코드 리뷰 및 피드백 수용'], '핵심경험': ['학부 시절 전공 과목 수강을 통한 기초 지식 습득', 'SSAFY 웹 개발 트랙 이수 및 Spring Framework 지식 함양', '프로젝트 과제 및 현장 실습 경험', '알고리즘 문제풀이 스터디 참여 및 SW 역량 테스트 B형 취득', '졸업 프로젝트 협업 경험 및 인적 관리의 중요성 인식', 'SSAFY 협업 프로젝트에서 Stacked Changes 방식 도입']}"
1,삼성전자,수도권4년,전자공학과,2023년 하반기,신입,생산관리/품질관리,3.53,{'오픽': 'IH'},2.0,0.0,1.0,2.0,Q1.삼성전자를 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오. (700자 (영문 작성 시 1400자) 이내)보기,"{'기업성': ['4차 산업혁명에 따른 IOT, AI, 메타버스 시장 성장', '반도체의 역할 확대', '삼성전자의 파운드리 시장 정점 목표', '고성능, 저전력 반도체 제작 기술 확보를 위한 공격적 투자', '기술력과 경쟁성 확보를 위한 도전 정신'], '태도': ['경청과 배려의 자세', '협력을 통한 성과 극대화 기여', '다양한 분야의 사람들과 소통하는 자세', '유관부서 및 동료의 의사 경청', '윈윈하며 성장하는 조직원 의지'], '핵심경험': ['다수의 대외활동 경험', '프로젝트 경험', '반도체 전공 지식 습득', '실습 경험', '업무를 빠르게 익히고 자기 계발을 통한 발전']}","Q2.본인의 성장과정을 간략히 기술하되 현재의 자신에게 가장 큰 영향을 끼친 사건, 인물 등을 포함하여 기술하시기 바랍니다. (※ 작품 속 가상인물도 가능)(1500자)보기","{'기업성': ['변화에 맞춰 도전하는 자세', '효율성을 높이기 위한 새로운 시도', '시간 단축과 비용 절감의 효과'], '태도': ['변화에 대한 빠른 대응', '새로운 도전을 두려워하지 않는 자세', '경청과 배려의 자세', '상대의 눈높이에 맞춰 소통하는 태도'], '핵심경험': ['글로벌 전개형 표준 모빌리티 프로젝트에서 업무량 증가 문제 개선', 'Pair-Wise Testing 기법을 접목하여 테스트 수 축소', 'OOO 교육 멘토링에서 중학교 멘티의 학업 멘토링 수행', '멘티의 여드름 문제 해결을 위한 식단 관리와 운동 계획 세우기']}"
2,삼성전자,서울4년,프랑스어학부,2023년 하반기,신입,유통/무역,4.0,"{'토익': 945, '오픽': 'IH'}",1.0,0.0,1.0,1.0,Q1.삼성전자를 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오.보기,"{'기업성': [""삼성전자의 환경 비전 'Everyday Sustainability'"", '지구 환경 보전에 기여하는 기업', '작은 실천과 노력이 모여 더 나은 삶을 만드는 기업'], '태도': ['끊임없이 도전하는 자세', '열정을 가진 신뢰를 주는 세일즈맨 지향', '사회에 이바지하는 영업 전문가로 성장하고자 하는 의지'], '핵심경험': ['OO의 영업팀에서 인턴활동', '전시회에서 매출 저조 원인 분석', '고객에게 적극적으로 다가가 샘플을 보여주며 흥미 유발', '3일간 약 1,400만 원의 계약 체결']}","Q2.본인의 성장과정을 간략히 기술하되 현재의 자신에게 가장 큰 영향을 끼친 사건, 인물 등을 포함하여 기술하시기 바랍니다. (※작품속 가상인물도 가능)보기","{'기업성': ['도전 정신', '적응력', '소통 능력', '책임감'], '태도': ['도전을 두려워하지 않음', '협업을 중시함', '배려하는 마음', '인내심'], '핵심경험': ['이민 생활을 통한 문화 적응', '매일 새로운 사람과의 대화 목표 설정', 'OO어-한국어 통역 아르바이트', 'OO한국 대표단 의전 활동 참여', '주페루 대한민국 대사관 행사 지원']}"
3,삼성전자,지방4년,기계공학과,2022년 상반기,신입,엔지니어링,4.29,{'토스': 'Level6'},2.0,1.0,0.0,0.0,Q1.삼성전자에 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오(700자)보기,"{'기업성': ['도전을 지향하는 기업문화', '171조 투자 계획', '시스템 반도체 1위 도전', '지속적인 성장 추구'], '태도': ['도전적인 자세', '개인 역량 향상 의지', '협업의 중요성 인식', '문제 해결을 위한 협력 의지'], '핵심경험': ['foundry 설비 엔지니어로서의 목표', 'PM, BM 정비 경험', '기계공학 전공 및 관련 자격증 취득', '설계 프로그램 익힘', '공모전 및 팀 프로젝트 참여', '아르바이트를 통한 협업 경험']}","Q2.본인의 성장과정을 간략히 기술하되 자신에게 가장 큰 영향을 끼친 사건, 인물 등을 포함하여 기술하시기 바랍니다.(1500자)보기","{'기업성': ['도전 정신', '최고 지향', '높은 목표 설정'], '태도': ['주저하지 않고 도전하는 자세', '작은 일에도 최선을 다하는 목표 의식', '책임감과 성실함', '협동과 시너지 효과 중시'], '핵심경험': ['고등학교 전교 1등 목표 달성', '대학교 A+ 성적 목표 달성', '파이썬 강의 수강', '학습공동체 참여', '캠퍼스 특허 유니버시아드 참여', '엔지니어링 페어 참여', '현장실습 경험', '마트, 음식점, 상하차 아르바이트 경험']}"
4,삼성전자,지방4년,기계공학과,2023년 상반기,신입,엔지니어링,4.29,{'토스': 'Level6'},2.0,1.0,0.0,0.0,Q1.삼성전자를 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오(700자)보기,"{'기업성': ['도전이 중요한 기업 선택 기준', '삼성전자의 메모리 반도체, 시스템 반도체, 스마트폰, 가전제품 생산', '시스템 반도체 시장 1위 목표 및 2030년까지 171조 원 투자 계획', '지속적인 성장 가능성'], '태도': ['도전과 성장의 기회 중시', '설비 안정적 운용을 통한 생산성 향상 의지', '협력 업체와의 협의 필요성 인식', '소통의 중요성 인식'], '핵심경험': ['기계공학 전공 및 관련 자격증 취득', '설계 프로그램 익힘', '공모전 및 팀 프로젝트 참여', '아르바이트를 통한 협업 경험']}","Q2.본인의 성장과정을 간략히 기술하되 현재의 자신에게 가장 큰 영향을 끼친 사건, 인물 등을 포함하여 기술하시기 바랍니다(1500자)보기","{'기업성': ['도전 정신', '최고를 목표로 하는 자세', '높은 목표 설정과 달성'], '태도': ['주저하지 않고 도전하는 자세', '작은 일에도 최선을 다하는 태도', '책임감과 성실함', '협동을 통한 시너지 효과'], '핵심경험': ['고등학교 3학년 전교 1등 목표 달성', '대학교에서 A+ 성적 목표 달성', '파이썬 강의 수강', '학습공동체 참여', '캠퍼스 특허 유니버시아드 참여', '엔지니어링 페어 참여', '현장실습 경험', '마트, 음식점, 상하차 아르바이트 경험']}"
5,삼성전자,서울4년,경영대학 경영학과,2022년 상반기,신입,마케팅/시장조사,4.13,"{'토익': 725, '토스': 'IH'}",2.0,0.0,1.0,1.0,Q1.삼성전자를 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오.보기,"{'기업성': ['삼성의 기술력과 성장 가능성에 대한 인식', '삼성전자의 인간 삶에 미치는 지대한 영향', '비대면 서비스 확대에 따른 온라인 커뮤니케이션 전략 필요성'], '태도': ['소비자의 요구를 빠르게 읽어내는 능력', '트렌드에 대한 열린 시각', '유의미한 성과 도출에 대한 열망'], '핵심경험': ['영업마케팅 프로세스 체득', '제품군 특성 파악 및 전략 수립', '소셜 미디어와 세대별 소비자 특성 분석']}","Q2.본인의 성장과정을 간략히 기술하되 현재의 자신에게 가장 큰 영향을 끼친 사건, 인물 등을 포함하여 기술하시기 바랍니다. (작품속 가상인물도 가능)보기","{'기업성': ['삼성전자의 기술력 선두', '생활가전, 스마트폰 통신장비 분야의 명성'], '태도': ['고객의 입장을 먼저 생각하는 마음', '사람을 대하는 소질', '책임감 있는 고객 만족 실현', '조직에 알맞은 성실함 고민'], '핵심경험': ['프랜차이즈 빵집에서 샌드위치 제조 기사로 근무하며 귀가 들리지 않는 손님 응대 경험', '수어를 익혀 손님과의 소통 개선', '마케팅 대행사 인턴으로 광고 대행 업무 보조', '시즌별 마케팅 기획안 작성 및 판매 실적 분석 경험', '효과적인 마케팅 전략 수립 및 홍보 문구 설계', '광고 촬영 일정 소화하며 마케팅 전략 전반적 과정 이해']}"
6,삼성전자,서울4년,영어영문학,2022년 하반기,신입,개발,3.92,"{'토익': 965, '오픽': 'IH'}",1.0,0.0,0.0,1.0,Q1.삼성전자를 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오보기,"{'기업성': ['삼성전자의 목표 지향적인 기업 문화', '반도체 산업의 중요성', '글로벌 1위 기업으로서의 역할'], '태도': ['높은 목표 설정 및 성취감 추구', '지속적인 학습과 성장 의지', '회사의 발전과 함께 성장하고자 하는 자세'], '핵심경험': ['스스로 독학하여 수도권 고등학교 진학', '삼성전자에 대한 연구 및 이해', '반도체 수율 개선을 위한 분석 프로그램 개발 의지']}","Q2.본인의 성장과정을 간략히 기술하되 현재의 자신에게 가장 큰 영향을 끼친 사건, 인물 등을 포함하여 기술하시기 바랍니다보기","{'기업성': ['디지털화에 대한 이해', '소프트웨어 개발 분야에 대한 흥미', '최적의 반도체 수율 분석 프로그램 개발 목표'], '태도': ['끊임없는 배움과 도전 정신', '단계별 목표 설정 및 성취', '협업을 통한 문제 해결 노력'], '핵심경험': ['중국어 습득을 위한 단계별 목표 설정 및 성취', '홍콩 교환학생 경험', 'HSK 6급 취득', '삼성 SW 청년 아카데미에서의 개발 공부', 'python, HTML, CSS, django 학습', '자체 알고리즘 과목평가 100점 성취']}"
7,삼성전자,수도권4년,기계과 기계시스템전공,2022년 하반기,신입,엔지니어링,3.5,"{'토익': 900, '오픽': 13}",3.0,0.0,0.0,1.0,Q1.삼성전자를 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오.보기,"{'기업성': ['삼성전자의 GAA 구조 적용한 3nm 양산 시작', '전력 45% 절감, 성능 23% 향상', 'R&D의 중요성 강조', 'High NA EUV 장비의 증가'], '태도': ['전문성 향상에 대한 의지', '팀원과 후배 육성에 대한 목표', '설비 명장이 되어 기여하겠다는 포부'], '핵심경험': ['반도체 공정과 설비 교육 776시간 수강', '실습을 통한 공정 Process 역량 쌓기', '자동제어 및 Trouble shooting 분석 경험', 'EUV 장비 도입된 평택 라인에서 SET UP, PM, BM, 나노 공정 경험 쌓기']}","Q2.본인의 성장과정을 간략히 기술하되 현재의 자신에게 가장 큰 영향을 끼친 사건, 인물 등을 포함하여 기술하시기 바랍니다. (※작품속 가상인물도 가능)보기","{'기업성': ['끈기 있는 문제 해결 능력', '융합적 인재상', '협동심과 소통의 중요성'], '태도': ['포기하지 않는 끈기', '적극적인 학습 분위기 조성', '협력과 소통을 통한 최적의 결과 추구'], '핵심경험': ['4년간 전공 심화 멘토링 진행', '교수님 추천 장학금 3회 수혜', '반도체 8대 공정 스터디 그룹 운영', '학습 일지 작성 및 피드백 제공', '우수 학습 그룹 선정']}"
8,삼성전자,지방4년,전자공학과,2022년 하반기,신입,엔지니어링,3.81,"{'토익': 855, '오픽': 'IH'}",3.0,0.0,1.0,0.0,Q1.삼성전자를 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오.보기,"{'기업성': ['삼성 전자의 엔지니어로서 반도체 공정 기술 직무에 지원', '국내 최대 반도체 생산 기업', '반도체 불량률 개선 업무의 중요성 인식'], '태도': ['공정 개선에 대한 의지', '불량률 개선을 위한 계측 공정 개선 기여 희망'], '핵심경험': ['전자회로 과목 학습', '졸업 과제를 반도체 공정 연구실에서 진행', 'Wafer Preparation, CVD 공정에 대한 깊이 있는 공부']}","Q2.본인의 성장과정을 간략히 기술하되 현재의 자신에게 가장 큰 영향을 끼친 사건, 인물 등을 포함하여 기술하시기 바랍니다. (※작품속 가상인물도 가능)보기","{'기업성': ['군 생활을 통해 얻은 책임감', '어려운 상황에서도 최선을 다하는 자세', '긍정적인 결과를 추구하는 태도'], '태도': ['어려움 극복을 위한 끈기', '주어진 역할에 최선을 다하는 자세', '조직에 기여하고자 하는 의지'], '핵심경험': ['아버지의 간암 판정 후 군 입대', '군대에서의 적응과 성장', '분대장 교육 우수 성적 수료', '병장 만기 전역']}"
9,삼성전자,수도권4년,디자인학부,2022년 하반기,신입,디자인,4.28,{'오픽': 'IH'},0.0,12.0,2.0,2.0,Q1.삼성전자를 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오.보기,"{'기업성': ['소비자 최우선의 디자인 철학', '디자인 경영 추구', '디자인 멤버십 프로그램 시행', '디자이너 발굴에 지속적인 노력', '트렌드를 이끄는 제품 개발'], '태도': ['소비자와의 공감 중시', '디자인의 가치에 대한 확신', '창의적인 아이디어 제시 의지', '편안한 삶을 위한 기여 의지'], '핵심경험': ['1인 가구 소비자 제품군 개발을 위한 제품 스터디', '1인 가구의 불편함과 필요 공감 노력', 'IF design concept award 수상 경험', '다양한 디자인 공모전 수상 경험', '분석 능력과 공감 능력 발휘']}","Q2.본인의 성장과정을 간략히 기술하되 현재의 자신에게 가장 큰 영향을 끼친 사건, 인물 등을 포함하여 기술하시기 바랍니다. (※작품속 가상인물도 가능)보기","{'기업성': ['소비자 중심의 디자인 중요성', '공감 능력과 분석적 사고의 필요성', '가전제품 디자인에 대한 관심과 연구'], '태도': ['공감하는 디자인 가치관', '사용자 의견을 반영하는 협업 태도', '더 나은 삶을 만드는 디자이너로 성장 의지'], '핵심경험': ['제품 디자인 소모임 활동', '50개 이상의 소비자 피드백 수집', 'ALONE과 COMODO 프로젝트 진행', '첫 국제 디자인 공모전 도전 및 가전용품 조사', '다양한 사람들과의 인터뷰 경험']}"
